TID,Team,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,EPL,FAC,LC,UCL,UEL,Logo_url,Background,color1,color2
1044,AFC Bournemouth,Bournemouth,Bournemouth,Dean Court,11464,50.7352306,-1.8404678,0,0,0,0,0,https://upload.wikimedia.org/wikipedia/de/4/41/Afc_bournemouth.svg,/bck/bournemouth.jpg,#A91916,#D41116
57,Arsenal FC,Arsenal,London ,Emirates Stadium ,60361,51.555,-0.108611,13,13,2,0,0,http://upload.wikimedia.org/wikipedia/en/5/53/Arsenal_FC.svg,/bck/arsenal.jpg,#F00000,#e25757
397,Brighton,Brighton,Brighton ,American Express Community Stadium ,22374,50.861822,-0.083278,0,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/f/fd/Brighton_&_Hove_Albion_logo.svg,/bck/brighton.jpg,#011664,#0527a6
328,Burnley FC,Burnley,Burnley ,Turf Moor ,22546,53.789167,-2.230278,2,1,0,0,0,https://upload.wikimedia.org/wikipedia/en/0/02/Burnley_FC_badge.png,/bck/burnley.jpg,#7E273A,#1EB6E5
61,Chelsea FC,Chelsea,London ,Stamford Bridge ,42449,51.481667,-0.191111,6,7,5,1,1,http://upload.wikimedia.org/wikipedia/de/5/5c/Chelsea_crest.svg,/bck/chelsea.jpg,#011664,#0527a6
354,Crystal Palace FC,Crystal Palace,London ,Selhurst Park ,26309,51.398333,-0.085556,0,0,0,0,0,http://upload.wikimedia.org/wikipedia/de/b/bf/Crystal_Palace_F.C._logo_(2013).png,/bck/palace.jpg,#014A97,#1A5DA3
62,Everton FC,Everton,Liverpool ,Goodison Park ,40157,53.438889,-2.966389,9,5,0,0,0,http://upload.wikimedia.org/wikipedia/de/f/f9/Everton_FC.svg,/bck/everton.jpg,#011664,#0527a6
394,Huddersfield TownFC,Huddersfield,Huddersfield,Kirklees Stadium,24129,53.655203,-1.7681068,3,1,0,0,0,https://upload.wikimedia.org/wikipedia/commons/6/66/Huddersfield_Town_F.C.png,/bck/huddersfield.jpg,#011664,#0527a6
338,Leicester City FC,Leicester,Leicester ,King Power Stadium ,32500,52.620278,-1.142222,1,0,3,0,0,http://upload.wikimedia.org/wikipedia/en/6/63/Leicester02.png,/bck/leicester.jpg,#1A5DA2,#1A5DA3
64,Liverpool FC,Liverpool,Liverpool ,Anfield ,45276,53.430819,-2.960828,18,7,8,5,3,http://upload.wikimedia.org/wikipedia/de/0/0a/FC_Liverpool.svg,/bck/liverpool.jpg,#E31B23,#B71515
65,Manchester City FC,Man City,Manchester ,Etihad Stadium,47405,53.482989,-2.200292,4,5,4,0,0,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg,/bck/mancity.jpg,#7BB4DC,#002F5F
66,Manchester United FC ,Man United,Stretford ,Old Trafford ,75811,53.463056,-2.291389,20,12,5,3,1,http://upload.wikimedia.org/wikipedia/de/d/da/Manchester_United_FC.svg,/bck/manutd.jpg,#E31B23,#B71515
67,Newcastle United FC,Newcastle,Newcastle upon Tyne ,Sports Direct Arena,52409,54.975556,-1.621667,4,6,0,0,0,http://upload.wikimedia.org/wikipedia/de/5/56/Newcastle_United_Logo.svg,/bck/newcastle.jpg,#404040,#222222
340,Southampton FC,Southampton,Southampton ,St Mary's Stadium ,32689,50.905833,-1.391111,0,1,0,0,0,http://upload.wikimedia.org/wikipedia/de/c/c9/FC_Southampton.svg,/bck/southampton.jpg,#E31B23,#B71515
70,Stoke City FC,Stoke,Stoke-on-Trent ,Britannia Stadium ,27740,52.988333,-2.175556,0,0,1,0,0,http://upload.wikimedia.org/wikipedia/de/a/a3/Stoke_City.svg,/bck/stoke.jpg,#F00000,#e25757
72,Swansea City FC,Swansea,Swansea ,Liberty Stadium ,20520,51.6422,-3.9351,0,0,1,0,0,http://upload.wikimedia.org/wikipedia/de/a/ab/Swansea_City_Logo.svg,/bck/swansea.jpg,#011664,#0527a6
73,Tottenham Hotspur FC ,Tottenham,London ,White Hart Lane ,36230,51.603333,-0.065833,2,8,4,0,2,http://upload.wikimedia.org/wikipedia/de/b/b4/Tottenham_Hotspur.svg,/bck/tottenham.jpg,#011664,#0527a6
346,Watford FC,Watford,Watford ,Vicarage Road ,23500,51.649836,-0.401486,0,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/e2/Watford.svg,/bck/watford.jpg,#FFEF00,#12110B
74,West Bromwich Albion FC,West Brom,West Bromwich ,The Hawthorns ,27877,52.509167,-1.963889,1,5,1,0,0,http://upload.wikimedia.org/wikipedia/de/8/8b/West_Bromwich_Albion.svg,/bck/westbrom.jpg,#011664,#0527a6
563,West Ham United FC,West Ham,London ,Boleyn Ground ,35303,51.531944,0.039444,0,3,0,0,0,http://upload.wikimedia.org/wikipedia/de/e/e0/West_Ham_United_FC.svg,/bck/whu.jpg,#7E273A,#1EB6E5
